,gain_pct
log_distance,41.954851334898656
quote_deviation,27.43016992542042
is_reefer,8.150072896202753
delta_lon,4.324714837975481
circuity,3.2182869062710493
is_flatbed,2.9782751562938508
log_weight,2.5044463635822036
cos_year,2.4619901818443766
mid_lon,1.2037730362553836
log_market_index,1.1492636654189048
sin_year2,0.9617327341999891
mid_lat,0.9107244281793815
sin_year,0.799848746684374
delta_lat,0.5113310424775891
pickup_lat,0.4155754204885875
delivery_lat,0.3151839377360932
pickup_lon,0.27942306857941224
delivery_lon,0.24050697118031636
cos_year2,0.18982934631118129
